key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),wacc (factor),technical_lifetime (years)
industry_chemicals_fertilizers_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_fertilizers_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_fertilizers_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_other_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_other_burner_crude_oil,112.07126686247196,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_other_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_other_burner_network_gas,60.01601334081253,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_other_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_other_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_other_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_other_heater_electricity,0.0,0.0,50.0,2190.0,3000000.0,0.04,15.0
industry_chemicals_other_heatpump_water_water_electricity,0.0,0.0,5.0,7000.0,1250000.0,0.04,15.0
industry_chemicals_other_steam_recompression_electricity,0.0,0.0,43.1,8000.0,5698000.0,0.04,15.0
industry_chemicals_refineries_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_refineries_burner_crude_oil,105.43355782978198,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_refineries_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_refineries_burner_network_gas,45.66403199771709,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_refineries_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chp_combined_cycle_gas_power_fuelmix,38.59233978273994,112.96969999999999,79.57449999999999,5781.679137876898,115043478.26,0.04,30.0
industry_chp_engine_gas_power_fuelmix,38.51572560328461,1.032,1.128,256.725550732401,600000.0,0.04,20.0
industry_chp_turbine_gas_power_fuelmix,24.748422690855374,31.968000000000004,41.44,0.0,38250000.0,0.04,25.0
industry_chp_ultra_supercritical_coal,0.0012810011796807943,600.0,225.0,7780.500000000001,840000000.0,0.04,40.0
industry_chp_wood_pellets,0.0,115.7658,297.322,0.0,617750000.0,0.04,25.0
industry_heat_backup_burner_network_gas,7.188426452942185,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_heat_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_heat_burner_crude_oil,7.303277088681056,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_heat_burner_lignite,0.0,0.0,5.0,2190.0,300000.0,0.04,15.0
industry_heat_well_geothermal,0.0,0.0,30.0,7000.0,75270000.0,0.04,30.0
industry_other_food_burner_coal,1.3121613881278547,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_other_food_burner_crude_oil,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_other_food_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_other_food_burner_network_gas,62.11439070767519,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_other_food_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_other_food_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_other_food_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_other_food_heater_electricity,0.0,0.0,50.0,2190.0,3000000.0,0.04,15.0
industry_other_metals_burner_network_gas,2.578390132420092,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_other_paper_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_other_paper_burner_crude_oil,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_other_paper_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_other_paper_burner_network_gas,13.988141871314728,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_other_paper_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_other_paper_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_other_paper_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_other_paper_heater_electricity,0.0,0.0,50.0,2190.0,3000000.0,0.04,15.0
other_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
other_burner_crude_oil,22.258499491597235,0.0,5.0,2190.0,300000.0,0.04,15.0
other_burner_network_gas,3.0779671232876713,0.0,5.0,2190.0,300000.0,0.04,15.0
other_burner_wood_pellets,0.0,0.0,5.0,2190.0,1003333.33333333,0.04,15.0
