key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),fixed_operation_and_maintenance_costs_per_year (Euros),variable_operation_and_maintenance_costs_per_full_load_hour (Euros),wacc (factor),technical_lifetime (years),total_investment_over_lifetime_per_node (Euros)
energy_hydrogen_wind_turbine_offshore,0.0,3.0,0.0,4000.0,11707500.0,428882.885600175,0.0,0.04,20.0,0.0
energy_interconnector_1_imported_electricity,1.0,0.0,0.0,0.0,,,0.0,,,
energy_interconnector_2_imported_electricity,1.0,0.0,0.0,0.0,,,0.0,,,
energy_interconnector_3_imported_electricity,1.0,0.0,0.0,0.0,,,0.0,,,
energy_interconnector_4_imported_electricity,1.0,0.0,0.0,0.0,,,0.0,,,
energy_interconnector_5_imported_electricity,1.0,0.0,0.0,0.0,,,0.0,,,
energy_interconnector_6_imported_electricity,1.0,0.0,0.0,0.0,,,0.0,,,
energy_power_combined_cycle_ccs_coal,0.0,658.0,0.0,0.0,1704061960.7064521,21373442.6229508,801.247999672602,0.07,30.0,0.0
energy_power_combined_cycle_ccs_network_gas,0.0,665.0,0.0,0.0,712185855.036906,13063555.5555556,514.72213331828,0.07,30.0,0.0
energy_power_combined_cycle_coal,0.0,800.0,0.0,0.0,1542475240.0,16000000.0,801.247999672602,0.04,30.0,0.0
energy_power_combined_cycle_coal_gas,1.0003972914986161,835.0,0.0,1789.0,626250000.0,8350000.0,2087.5,0.04,30.0,626498803.8010083
energy_power_combined_cycle_hydrogen,0.0,800.0,0.0,0.0,599540000.0,9066666.66666667,1287.0,0.07,30.0,0.0
energy_power_combined_cycle_network_gas,9.253126764586955,800.0,0.0,1397.131473009852,599540000.0,9066666.66666667,1287.0,0.04,30.0,5547619620.440463
energy_power_engine_diesel,0.0,2.0,0.0,0.0,400000.0,0.0,15.7,0.04,30.0,0.0
energy_power_engine_network_gas,0.04755719968629841,400.0,0.0,18.999999999999993,260000000.0,2400000.0,800.0,0.04,25.0,12364871.918437587
energy_power_geothermal,0.0,12.0,0.0,8000.0,155084745.8,2400000.0,0.0,0.04,30.0,0.0
energy_power_hv_network_electricity,12.006002270922805,800.0,0.0,8760.0,0.0,47926596.97,0.0,0.03,40.0,0.0
energy_power_hydro_mountain,0.0,500.0,0.0,0.0,618099845.753424,5415845.84383562,1246.04483013699,0.04,50.0,0.0
energy_power_hydro_river,3.700138154613462,10.0,0.0,2005.0,36000000.0,320000.0,0.0,0.04,45.0,133204973.56608462
energy_power_lv_network_electricity,8901.421741376103,0.64,0.0,8760.0,0.0,1999.279402,0.0,0.03,40.0,0.0
energy_power_mv_distribution_network_electricity,4458.768496845995,2.1,0.0,8760.0,0.0,7789.192549,0.0,0.03,40.0,0.0
energy_power_mv_transport_network_electricity,543.7890167156636,16.9,0.0,8760.0,0.0,86884.46792,0.0,0.03,40.0,0.0
energy_power_nuclear_gen2_uranium_oxide,0.31055642718138154,1650.0,0.0,7653.572683463582,3200000000.0,42048000.0,6400.0,0.07,50.0,993780566.980421
energy_power_nuclear_gen3_uranium_oxide,0.0,1650.0,0.0,0.0,4950000000.0,80901594.7712419,6288.0,0.07,60.0,0.0
energy_power_solar_csp_solar_radiation,0.0,50.0,0.0,867.0,175000000.0,400000.0,50.0,0.04,30.0,0.0
energy_power_solar_pv_offshore,0.0,750.0,0.0,867.0,450000000.0,6700000.0,0.0,0.04,20.0,0.0
energy_power_solar_pv_solar_radiation,275.0,20.0,0.0,867.0,17420000.0,318000.0,0.0,0.04,25.0,4790500000.0
